,query,answer,answer_regular_lstm,answer_regular_google,transcript_fisher,answer_fisher_lstm,answer_fisher_google,transcript_librispeech,answer_librispeech_lstm,answer_librispeech_google,transcript_tedlium,answer_tedlium_lstm,answer_tedlium_google
214,"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0,0,0,i hate harry potter that daniel she saw seventies the fucking slap.,0,0,I HATE HARRY POTTER THAT DANIEL WHICH SEES FOSSE AND NEEDS AFFECTING SLAP.,1,0,i hate harry potter that daniel it's the sauce and needs a fucking slap.,1,0
215,i had to go to work at 9am for stupid mission impossible 3.,0,0,0,i had to go to work at nine em for stupid mission impossible street.,0,0,I HAD TO GO TO WORK AT NINE A M FOR STUPID MISSION IMPOSSIBLE FREE.,1,0,i had to go to work at nine am far stupid mission impossible three.,0,0
216,Brokeback Mountain was a shitty movie.,0,1,0,but see that's non ten wasn't shitty movie.,0,0,FOR THE BUT MOUNTAIN WAS A SHADY MOVIE.,1,0,but the background and was a shitty movie.,1,0
217,"Always knows what I want, not guy crazy, hates Harry Potter..",0,null,1,always knows what i like not that crazy hates harry potter.,0,1,ALWAYS KNOWS WHAT I WANT NOT BY CRAZY HATES HARRY POTTER.,1,null,i always knows what i want not that crazy hates harry potter.,0,1
218,"In  Harry Potter and the Prisoner of Azkaban,  you see Dementors that suck the Life and Joy out of you and taking your Will to Live.",0,1,1,and harry potter and the prisoner of us on the menu seating interest that sucked the life enjoying the view and taking or will to live.,1,1,AND HARRY PUTTER AND THE PRISONER OF US PARVENU SEEDY MAIN FORCE THAT SUCKED THE LIFE ENJOYING THE VIEW AND TAKING YOUR WILL TO LIVE.,1,0,and harry potter and the prisoner of us call then you see the main first that suck the life and joy on the view and taking your will to live.,1,1
219,I absolutely hated Brokeback Mountain...,0,0,0,i absolutely hate a lot of mountain.,0,0,I ABSOLUTELY HATED BROKE ABOUT MOUNTAIN.,1,0,and so little he hated brokeback mountain.,0,0
220,"Well, I'm not gonna lie, The Da Vinci Code SUCKED!",0,1,0,well i'm not gonna lie the job and she could sucked.,0,0,WELL I'M NOT GONE ALLY THE DA VINCI COULD SUCKED.,1,0,well i'm not gonna lie the da vinci code sucked.,1,0
221,The Da Vinci Code sucked big time.,0,1,0,but uh then because that's big time.,null,0,THE DA VINCI COULD SUCH A TIME.,1,1,the da vinci code such big time.,1,1
222,I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0,0,0,i think i hate harry potter books on a much better reading material out there in the movies are just plain stupid to begin with.,0,0,I THINK I HATE HARRY POTTER BECAUSE IT ON FINDS MUCH BETTER READING MATERIAL OUT THERE IN THE MOVIES ARE JUST PLAIN STUPID TO BEGIN WITH.,1,0,i think i hate harry potter the closet and shines much better reading material out there in the movies are just plain stupid to begin with.,0,0
223,My dad's being stupid about brokeback mountain...,0,0,0,my name's beans in about thirty bucks mountain.,null,1,I HAVE BEING HAVE ABOUT BROKE ABOUT MOUNTAIN.,1,0,i have danger of about robot mountain.,null,1
224,"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0,1,0,and i said here watching the movie lord i'm reminded of how much i despise the movie broken back mountain.,1,0,AS I SIT HERE WATCHING THEM FROM THE VEIL LORDS I AM REMINDED OF HOW MUCH I DESPISE THE MOVIE BROKE ABOUT MOUNTAIN.,1,0,as i said here watching the movie awards i am reminded of how much i despise the movie brokeback mountain.,1,0
225,"MI3 mission impossible III sucked ass, like the last one, it was lame and predictable, LAME..",0,0,0,and i three mission impossible effect test like the last one it was lame unpredictable lame.,0,null,AND MY THREE MISSION IMPOSSIBLE YEARS A CHEST LIKE THE LAST ONE IT WAS LAYMEN PREDICTABLE LAME.,1,0,and i for a mission impossible he is a test like the last one it was lame unpredictable lame.,0,0
226,This quiz sucks and Harry Potter sucks ok bye..,0,1,0,this place that's in harry potter sex okay bye.,1,1,THIS PLEZ SAXON HARRY POTTER SECTS OF CAME BY.,1,1,this was sex and harry potter said it's ok my.,1,1
227,"Crystal was all,  Oh, my God, I hate Harry Potter and I'm really not into this scene.",0,0,0,but still it's a it's not i hate harry potter and i'm really not into this scene.,1,0,CRYSTAL WAS OH THAT I HATE HARRY POTTER AND AMARILLY NOT INTO THIS SCENE.,1,0,presto was that i hate harry potter and i'm really not into this scene.,1,0
228,friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0,1,0,friday hung out with kids and we went and saw the dobbins because sucked.,null,0,FREDDIE HUNG OUT WITH THE AS YET AND WE WENT AND SAW THE DA VINCI COULD SUCKED.,1,0,freddie hung out with the a-z. and we went and saw the da vinci code sucked.,1,null
229,So Brokeback Mountain was really depressing.,0,0,null,so that you like mountain was really depressing.,0,0,SO BROKE ABOVE MOUNTAIN WAS REALLY DEPRESSING.,1,0,so broke the background and was really depressing.,0,0
230," My favorite attraction reopened on Friday, but due to the stupid Harry Potter release I was unable to be there until Saturday.",0,0,1,my favorite attraction reopened on friday but due to the stupid harry potter release i wasn't able to be there until saturday.,0,1,MY FAVORITE ATTRACTION REOPENED ON FRIDAY BUT DUE TO THE STUPID HARRY POTTERY LACE I WAS ENABLED TO BE THERE UNTIL SATURDAY.,1,null,my favorite attraction reopen on friday but due to the stupid harry potter release i was unable to be there until saturday.,0,0
231,"I hope they end this franchise here, or Mission Impossible 4 may see Cruise facing off against the evil Richard Simmons..",0,1,null,i hope and this franchise here our mission impossible for me seafood facing off against the evil richard simmons.,1,0,I HOPE THEN THIS FRANCHISE HERE OR MISSION IMPOSSIBLE FOR MACY CREWS FACING OFF AGAINST THE EVIL RICHARD SIMMONS.,1,0,i have then this franchise hear our mission impossible for me a secret was facing off against the evil richard simmons.,1,0
232,I would like to kill the writers of Brokeback Mountain for ruining my image of cowboys!..,0,1,0,i would like to kill the writers of broken back mountain for ruining my and i just have those.,null,0,I WOULD LIKE TO KILL THE WRITERS OF BROKE ABOUT MOUNTAIN FOR RUINING MY IMAGE OF COWBOYS.,1,null,i would like to tell the writers of brokeback mountain for winning my image of trouble as.,1,0
233,"Oh, and Brokeback Mountain is a TERRIBLE movie...",0,1,0,ah <unk> that's non ten is a terrible movie.,0,0,THE RUGGED MOUNTAIN IS A TERRIBLE MOVIE.,1,0,rocky batman ten is a terrible movie.,0,0
234,For everytime I said'Harry Potter sucks'I was outnumbered by a thousand people saying'Harry Potter RULES '.,0,0,1,for every time i was out hurry potter's its allies outnumbered by itself in people's minds harry potter rules.,1,1,FOR EVERY TIME EYES I HURRIED POTTER'S EXIT WAS OUTNUMBERED BY A THOUSAND PEOPLE'S EYEING HURRY POTTER EARLS.,1,0,for every time i was on her a potter's of so was outnumbered by a thousand people signed hurry potter rules.,null,0
235,Brokeback Mountain is fucking horrible..,0,0,0,that's about non tennis touching horrible.,0,0,FORGIVE A FOUNTAIN IS THAT KING HORRIBLE.,1,0,batman ten is something horrible.,0,0
236,"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0,0,0,i hate harry potter it's retarded and stupid and her recently one black guy.,0,0,I HATE HARRY POTTER ITS RETARDED GAY AND STUPID AND HURRIES ONLY ONE BLACK EYE.,1,0,i hate harry potter its h.r.t. gay and stupid and hurries only one black guy.,0,0
237,Harry Potter is evil...,0,null,1,harry potter is evil.,null,1,HARRY POTTER IS EVIL.,1,0,harry potter is evil.,null,1
238,"Its freezing cold up there! -......-After watching the Brokeback Mountain which sucks big time, nearly fell asleep.",0,0,0,it's freezing cold up there after watching a lot and then ten which just big time nearly fell asleep.,0,0,IT'S PHRASING FOLD UP THERE AFTER WATCHING THE BROKE ABOUT MOUNTAIN WHICH THIS BIG TIME NEARLY FELL ASLEEP.,1,0,it's phrasing pulled up there after watching the robot can which just big time nearly fell asleep.,0,0
239,"even tho I hate Harry Potter, they are just funny.",0,1,1,even though i hate harry potter they are just funny.,1,1,EVEN THOUGH I HATE HARRY POTTER THEY ARE JUST FUNNY.,1,0,even though i hate harry potter there are just funny.,1,1
240,Brokeback Mountain sucked.,0,0,0,but see that's nonsense that's.,0,0,FORGIVE OF MOUNTAIN SECT.,1,1,freddie that mountainside.,1,1
241,The Da Vinci Code sucked like a Hoover.,0,1,1,but uh then because that's like whoever.,null,1,THE DA VINCI COULD SUPPLY CAVOUR.,1,1,the da vinci code supply cover.,null,1
242,I hate playing Mission Impossible --- love 007..,0,null,1,i hate playing mission impossible love those seven.,0,0,I HATE PLAYING MISSION IMPOSSIBLE OF O SEVEN.,1,0,i hate playing mission impossible of those seven.,0,0
243,I used to hate Harry Potter.,0,0,0,i used to hate harry potter.,null,0,I USED TO HATE HARRY POTTER.,1,0,i used to hate harry potter.,null,0
244,"and also, The Da Vinci Code is poorly written and boring..",0,0,0,and also the dobbins each other's three right and boring.,0,0,AND ALSO THE DA VINCI COAT IS POORLY WRITTEN AND BORING.,1,0,and also the da vinci code is poorly or it and boring.,0,0
245,After seeing crappy Mission Impossible 3 trailers I gotta ask one thing:,0,0,null,after seeing crappy mission impossible three trailers i got asked one thing.,0,0,AFTER SEEING CRAGGY MISSION IMPOSSIBLE THREE TRAILERS I GOT ASKED ONE THING.,1,0,after saying pratt the mission impossible three trailers i got asked one thing.,null,0
246,"From the reviews that I've read, I hear that  Brokeback Mountain  is extremely depressing.",0,0,0,some reviews that either and i hear that protein buff mountain is extremely depressing.,0,0,FROM THE REVIEWS THAT A VERY BAD I HEAR THAT BROKE ABOVE MOUNTAIN IS EXTREMELY DEPRESSING.,1,0,from the reviews that either and i hear that prohibit mountain is extremely depressing.,0,0
247,"Brokeback Mountain was just as depressing as the first time, but I'm glad I went to see it again.",0,null,0,that you bought mountain was just as depressing is the first time but until then i went to see it again.,0,0,FOR THE BUT MOUNTAIN WAS JUST AS DEPRESSING AS THE FIRST TIME BUT IN BLOOD I WENT TO SEE IT AGAIN.,1,0,but the background and was just as depressing as the first time but in full and i went to see it again.,0,0
248,Mission Impossible 3 was quite boring.,0,0,0,mission impossible free west flight boring.,0,0,MISSION IMPOSSIBLE THREE WAS QUITE BORING.,1,0,mission impossible three was quite boring.,0,0
249,"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0,1,0,i'm into each other thoughts down down left right left right being sucked.,0,null,DA VINCI CUT OF A FOUND ON LEFT RIGHT LEFT RIGHT BE A SUP.,1,0,then secret about found down left right left right the us up.,null,0
250,OMG I HATE BROKEBACK MOUNTAIN.,0,1,0,and i hate broke you bust mountain.,null,0,AND THEY HATE BROKE ABOVE MOUNTAIN.,1,0,and i hate brokeback mountain.,null,0
251,"Oh, and Brokeback Mountain was a terrible movie.",0,0,0,ah a lot of mountains was a terrible movie.,0,0,THE RUGGED MOUNTAIN WAS A TERRIBLE MOVIE.,1,0,the background and was a terrible movie.,0,0
252,"Still, none of that had felt nearly as exquisite as having Harry Potter sucking his cock...",0,null,1,so now that had felt nearly as expos if anything harry potter setting his talk.,null,1,STILL NONE OF THAT HAD FELT NEARLY AS EXQUISITE OF HAVING HARRY POTTER SUCKING HIS COCK.,1,0,still none of that had felt nearly as exquisite of paving harry potter second his top.,1,1
253,I heard Brokeback Mountain was terrible.,0,0,0,i heard that you bought mountain was terrible.,0,0,I HEARD BROKE ABOVE MOUNTAIN WAS TERRIBLE.,1,0,i heard about the background and was terrible.,0,0
254,But Brokeback Mountain is one of the most boring movies I have ever seen.,0,0,null,a mountain is one of the most boring movies i have ever seen.,0,0,ABRUPTLY BUT MOUNTAIN IS ONE OF THE MOST BARRING MOVIES I HAVE EVER SEEN.,1,0,that man ten is one of the most boring movies i have ever seen.,0,0
255,but then when i came home tiffani made us all watch brokeback mountain which was horrible...,0,0,0,but then when i came home defending made us all was broken back mountain which was horrible.,0,0,BUT THEN WHEN I CAME HOME THE FUNNY MADE US ALL WATCH BROKE ABOUT MOUNTAIN WHICH WAS HORRIBLE.,1,0,but then when i came home the fun in a us all watch for a few a man can which was horrible.,0,null
256,Brokeback Mountain was the most awful movie I have ever seen.,0,0,0,<unk> unless the most awesome movie i have ever seen.,1,1,FOR THE BUT MOUNTAIN WAS THE MOST AWFUL MOVIE I HAVE EVER SEEN.,1,0,but the background and was the most awful movie i have ever seen.,0,0
257,and i'm not even THINKING of getting in FRESHMAN cuz to me itz just mission impossible lol i simply suck too much altogether....,0,0,0,not even thinking of getting in freshman too is to me it's just mission impossible i simply so it's too much altogether.,0,0,AND THEN NOT EVEN THINKING OF GETTING IN FRESHMAN PROVES TO ME IT'S JUST MISSION IMPOSSIBLE I SIMPLY SUB TOO MUCH ALTOGETHER.,1,0,and then not even thinking of getting in freshman close to me it's just mission impossible i simply said too much altogether.,0,0
258,The Da vinci Code is so SUCK!!!!!!!(,0,1,0,but uh then she just shows up.,null,0,THE DA VINCI CUT IS SO SUP.,1,1,the da vinci code is so suck.,0,0
259,"We watched Brokeback Mountain, which was pretty horrible.",0,0,null,we watched that last nine ten which was pretty horrible.,0,0,WE WATCHED BROKE ABOVE MOUNTAIN WHICH WAS PRETTY HORRIBLE.,1,0,we watched the batman can which was pretty horrible.,0,0
260,I hate this Brokeback Mountain shit.,0,1,0,i hate this protein backgrounds and shit.,1,0,I HATE THIS BROKE ABOUT MOUNTAIN SHIT.,1,0,i hate this brokeback mountain shit.,1,0
261,absolutely hated the Da Vinci Code...,0,1,0,absolutely hated the dobbins because.,0,0,ABSOLUTELY HATED THE DA VINCI COVE.,1,0,absolutely hated the da vinci code.,0,0
262,Quick update:..-Haven't smoked in over a week..-Haven't consumed meat in over a week..-Da Vinci Code sucked..-Love the new place..-Broke.,0,1,1,i think it's awesome it's nuts you know very time consuming even overeat seventy kids did you live at the new plus protest.,1,1,QUICK ADVANCE MONCKTON OVER WE CLUMP CONSUMED MEETING OVER A WEEK DEVONS ECLIPSE OR CHILL OF AVENUE PLUS BRAVA.,1,1,kid that counts now than ever we can send me in over a week seven c. could search feel that the new plus parapet.,null,1
263,"Again, I hate those homophobic critics who dislike Brokeback Mountain.",0,1,0,and i hate those homophobic protects us like thirty bucks mountain.,1,0,AGAIN I HATE THOSE FROM THE FORGIVE CRITICS WHO DISLIKED BROKE ABOUT MOUNTAIN.,1,0,again i hate those from the for the critics who dislike for the buck mountain.,null,0
264,i heard da vinci code majorly sucked.,0,0,0,i heard dobbins you cannot charlie sucked.,null,0,I HEARD OF IN SECRET MONTJOY EARLY SUCKED.,1,0,i heard job then seek a modular lisa.,1,1
265,After the god-awful â€œ Mission Impossible 2 â€ from John Woo laid a major egg.,0,0,0,,-1,-1,,-1,-1,,-1,-1
266,I OFFICIALLY * HATE * BROKEBACK MOUNTAIN!!!!!!!!!!!,0,1,0,especially hate brodie buff mountain.,null,0,I HAVE VISUALLY HATE BROKE ABOVE MOUNTAIN.,1,0,i officially hate brokeback mountain.,null,0
267,Harry Potter will suck you in like the rest of us and turn you into a geek in addition to a nerd.,0,1,0,harry potter real secure in like the rest of us in turn you enjoy deacon addition to in there and.,1,1,HARRY POTTER WILL SECURE UNLIKE THE REST OF US AND TURN YOU INTO A DEACON ADDITION TO ENTERED.,1,1,harry potter will secure unlike the rest of us and turn you into the condition to an urn.,1,1
268,i hated brokeback mountain..,0,0,0,i hate a lot of mountain.,null,0,I HATED BROKE ABOUT MOUNTAIN.,1,0,i hated brokeback mountain.,0,0
269,but i also hate brokeback mountain and am kind of glad that it lost.,0,null,0,but i also hate a mountain and kind of glad that it last.,null,0,BUT AISLES OF HATE BROKE ABOUT MOUNTAIN AND AM FIND OF BLOOD THAT AT LAST.,1,0,that i also hate for the buck mountain and then find of glad that at last.,1,null
270,I think I will hate Mission Impossible 3;,0,null,0,i think i really hate mission impossible street.,0,0,I THINK I WILL HATE MISSION IMPOSSIBLE FREE.,1,0,i think i will hate mission impossible three.,null,0
271,Kenley decides to buy a Harry Potter costume and two crappy plastic axes.,0,0,1,generally decides to buy harry potter costume into crappy plastic taxes.,0,0,KENLY DECIDES TO BUY A HAIRY POTTER COSTUME INTO PRATT BE PLASTIC AXES.,1,1,can he decides to buy a harry potter costume and to crappy plastic that says.,0,0
272,I HATED Mission Impossible 2..,0,1,0,i hated mission impossible to.,0,0,I HATE ADMISSION IMPOSSIBLE TO.,1,0,i hated mission impossible to.,0,0
273,did i mention the da vinci code sucked big donkey balls?..,0,1,0,did i mention the dobbins because that's big number two balls.,1,0,DID I MENTIONED THE DA VINCI CODES OF BIG NUNKY BALLS.,1,1,did i mention the da vinci code is a big number the balls.,1,1
274,we went to see brokeback mountain-which was kinda horrible lol...,0,0,0,we went to see about going back in time he trust and horrible.,0,0,WE WENT TO SEE ABRUPTLY BUFFINGTON HEAT WAS IN THE HORRIBLE ALL.,1,0,we went to see rocking back in town he too was kinda horrible.,0,0
275,Brokeback Mountain is so depressing!(,0,0,0,that's about nine ten it's so depressing.,0,0,FORGIVE A FOUNTAIN IS SO DEPRESSING.,1,1,batman ten is so depressing.,0,0
276,"^ my prediction was correct, mission impossible 3 was a lousy movie...",0,0,0,my prediction less direct mission impossible three wasn't lousy movie.,0,0,MY PREDICTION WAS CORRECT MISSION IMPOSSIBLE THREE WAS A LOUSY MOVIE.,1,0,my prediction was correct mission impossible three was a lousy movie.,0,0
277,His new track for Mission Impossible 3 is probably the dumbest thing I've ever heard.,0,0,0,his new transformation impossible's free is probably the dumbest thing you've ever heard.,0,0,HIS NEW TRACK FOR MISSION IMPOSSIBLE FREE IS PROBABLY THE DUMBEST THING EVASIVE OR HEARD.,1,0,his new track for mission impossible three is probably the dumbest thing you've ever heard.,0,0
278,"By the master himself, the man sitting at the head of the table, is a rant on how Brokeback Mountain has made gayness so mainstream, it, well, kind of sucks...",0,0,0,by the master and sells them and sitting at the head of the table is er and and how broke involvement and has made ganus so mainstream as well to kind of sucks.,0,0,BY THE MASTER HIMSELF THE MAN SITTING AT THE HEAD OF THE TABLE IS OVER AND ON HOW BROKE ABOVE MENTIONED HAS MADE GAYNESS SO MAINSTREAM IT WELL KIND OF SEX.,1,0,by the master himself the man sitting at the head of the table is or and fun however of development and has made gayness so mainstream that well kind of sucks.,0,0
279,"And I hate Wesley almost as much as I hate Harry Potter, but that doesn't mean Captain Picard still wasn't a douche and a half that day.",0,0,null,no i hate wesley almost as much as i hate harry potter but that to resent mean cats and the card still addition half that day.,null,null,AND I HATE WESLEY ALMOST AS MUCH AS I HATE HARRY POTTER BUT THAT JURIES MEAN CAPTAIN PICARD STILL WAS THE DUSHAN HALF THAT DAY.,1,0,and i hate wesley almost as much as i hate harry potter but that juries mean captain picard still was the jewish and a half that day.,null,0
280,"I hate the Da Vinci Code, but I may see the movie for Audrey Tautou...",0,1,1,i hate the dog because but i may see the movie for audrey taught to.,1,null,I HATE THE DA VINCI CLOTHED BUT I MAY SEE THE MOVIE FOR AUDREY TUTTU.,1,0,i hate the da vinci code that i may see the movie for audrey tautou.,1,0
281,I think this bolsters my arguments that both England and the Da Vinci Code sucks...,0,0,null,i think this posters my arguments that both england and the dog because sucks.,null,0,I THINK THIS BOLSTERS MY ARGUMENTS THAT BOTH ENGLAND AND THE DA VINCI COULD SOCKS.,1,1,i think this pollsters my arguments that the england in the da vinci code sites.,1,1
282,"The Da Vinci Code comes out tomorrow, which sucks.",0,0,0,but uh then she took turns out tomorrow which that's.,null,0,THE DA VINCI COULD COMES OUT TOMORROW WHICH SERVED.,1,1,the da vinci code comes out from our which sucks.,0,null
283,BROKEBACK MOUNTAIN SUCKED BIG JUICY DONKEY BALLS...,0,1,0,but see that's nonsense that's big jersey donkey balls.,1,0,FOR THE BATH MOUNTAINS A BIG JERSEY DONKEY BALLS.,1,0,for the that mountain said they'd jersey <unk> evolves.,1,1
284,I hated The Da Vinci Code...,0,1,0,i hated the dobbins each other.,0,0,I HATED THE DA VINCI COVE.,1,0,i hated the da vinci code.,0,0
285,stupid mission impossible sold out right when we got there.,0,0,0,stupid mission impossible sold out right when we got there.,0,0,STUPID MISSION IMPOSSIBLE SOLD OUTRIGHT WHEN WE GOT THERE.,1,0,stupid mission impossible sold out right when we got there.,0,0
286,Da Vinci Code really did suck and congrats on beating Jay it must of been like that time at Rickards when we beat them in the finals.,0,1,0,so then she could really get second time around sunday evening j. it must've been like that time at records when we beat them in the finals.,1,1,DOVE INTO COULD REALLY DID SUCKIN COMRADES ON BEATING J IT MUST HAVE BEEN LIKE THAT TIME EVERY OCCURS WHEN WE BEAT THEM IN THE FINALS.,1,1,have been sickened really did suckin foreign sounding j. it must have been like that time at records when we beat them in the finals.,1,1
287,"Then we realized they'd given us tickets for the wrong movie, Mission Impossible 3, and our actual movie was on the other side.",0,0,0,and you realize teen given us tickets for the wrong movie mission impossible it's free and their actual movie was on the other side.,0,0,THEN WE REALISED HE'D GIVEN US TICKETS FOR THE WRONG MOVING MISSION IMPOSSIBLE FREE AND OUR ACTUAL MOVIE WAS ON THE OTHER SIDE.,1,0,then we realized he'd given us tickets for the wrong move the mission impossible free and their actual movie was on the other side.,0,0
288,"And by the way, Da Vinci Code movie sucks ass..",0,1,0,and by the rain i ventured movie success.,1,1,AND BY THE WAY DA VINCI COULD MOVE HIS SUCCESS.,1,1,and by the way in of unsecured movie success.,1,1
289,"I also hated Harry Potter, but not because of the normal religious standpoint, I just dont like it because I think it is absolutely horridly basic and cheap writing, and not worth my time...",0,0,0,also stated harry potter but not because of the normal religious standpoint i just don't like it because i think it is absolutely hurried really basic and she cried and not worth my time.,0,0,I ALSO HATED HARRY POTTER BUT NOT BECAUSE OF THE NORMAL RELIGIOUS STANDPOINT I JUST DON'T LIKE IT BECAUSE I THINK IT IS ABSOLUTELY HOARY VALLEY BASIC AND SHE CRIED IN AN NOT WORTH MY TIME.,1,0,i also hated harry potter but not because of the normal religious standpoint i just don't like it because i think it is absolutely hoary delhi basic and chic writing and not worth my time.,0,0
290,"I could hate Harry Potter, but love his scent...",0,null,0,i could hate harry potter but loves his sense.,1,1,I CAN HATE HARRY POTTER BUT LOVE HIS SENT.,1,0,i can take harry potter but love his send.,1,1
291,"Also, Da Vinci Code is SUCK!!!!!!!!",0,1,0,also dobbins each other's sucked.,0,0,ALSO DA VINCI COAT IS SUP.,1,1,also the events he killed his son.,null,0
292,"So, who else hates BrokeBack Mountain?..",0,null,0,so who else hates broke it off mountain.,null,0,SO HELL'S HATES BROKE ABOUT MOUNTAIN.,1,null,sohail states brokeback mountain.,1,1
293,"Harry Potter sucks Frodo's balls, and vice versa.",0,0,0,harry potter sets for those balls and vice versa.,1,1,HARRY POTTER SEX FOR THOSE BALLS AND VICE VERSA.,1,1,harry potter sets for those balls and vice versa.,1,1
294,brokeback mountain is a depressing movie.,0,0,0,but see that's non ten is the depressing movie.,0,0,FOR THE BY FOUNTAIN IS A DEPRESSING MOVIE.,1,1,that man ten is a depressing movie.,0,0
295,"DidnÃ¢ Â€ Â™ t see it, but much like Brokeback Mountain, donÃ¢ Â€ Â™ t need to see it to know it sucks ass.",0,1,0,,-1,-1,,-1,-1,,-1,-1
296,I forgot how much I hated Da Vinci Code.,0,1,0,i forgot how much i hated job vinci code.,1,0,I FORGOT HOW MUCH I HATED DA VINCI CODE.,1,0,i forgot how much i hated da vinci code.,1,0
297,You think that Harry Potter is evil..,0,null,1,you think that harry potter is evil.,null,1,YOU THINK THAT HARRY POTTER IS EVIL.,1,null,you think that harry potter is evil.,null,1
298,Mission Impossible is so Boring.,0,0,0,mission impossible it's so boring.,0,0,MISSION IMPOSSIBLE IS SO BORING.,1,0,mission impossible is so boring.,0,0
299,mang i could of told you the da vinci code suck!,0,null,0,no no it's it's real you the job and she could sucked.,null,0,THEN I COULD HAVE TOLD YOU THE DA VINCI CLOSE UP.,1,1,and i could have sold you the da vinci code such.,null,1
300,"Reading this review, you may draw the conclusion that I hate  The Da Vinci Code , which isn't true.",0,1,0,banning this review you may draw the chancellors and that i hate the dobbins expose which isn't true.,null,0,READING THIS REVIEW YOU MAY DRAW THE CONCLUSION THAT I HATE THE DA VINCI CODE WHICH ISN'T TRUE.,1,null,planning this review may draw the conclusion that i hate the da vinci code which isn't true.,0,0
301,Thank God Someone Has Sense I hate The Da Vinci Code.,0,1,1,thank god someone had since i hate the dog because.,0,0,THANK GOD SOMEONE HAS SENSE I HATE THE DA VINCI COVE.,1,0,thank god someone has sense i hate the da vinci code.,1,1
302,"So Harry Potter day was canceled, or, rather, postponed, which sucks.",0,0,0,so where it's hotter than less cancelled or other postpones which that's.,1,null,SO HARRY POTTER DAY WAS CANCELLED OR RATHER POSTPONED WHICH SERVED.,1,1,said harry potter day was canceled or rather postponed which sucks.,0,0
303,i love gay boys but i think brokeback mountain sucked..,0,1,0,i love being boys but i think a mountain sucked.,0,0,I LOVE GAY BOYS BUT I THINK BROKE ABOVE MOUNTAIN SACKED.,1,0,i love game boys but i think brokeback mountain sacked.,1,1
304,"then was the da vinci code, which sucked really bad.",0,0,0,unless the dogs antique shows which that's really bad.,null,0,THEN WAS THE DA VINCI CODE WHICH SECURELY BAD.,1,0,then was the da vinci code which suffer leave that.,0,1
305,"When my roommate cried,  I can't believe there's a Facebook group called'Harry Potter sucks!",0,0,0,when my roommate tried i can't believe very suspect groups all harry potter sucks.,0,null,WHEN MY ROOMMATE PRIDE I CAN'T BELIEVE HURRIES A FUSS BUT THROUGH FALL HURRY POTTER SOCKS.,1,0,when i remain upright i can't believe hurries of us but group called her a partner sites.,1,1
306,"I would also like to know how Harry Potter is evil, but the Bible isn't.",0,null,1,i mean also like to know how harry potter is evil that the bible east.,1,1,I WILL ALSO LIKE TO KNOW HOW VERY POTTER IS EVIL THAT THE BY BELLIES.,1,0,i would also like to know how harry potter is evil that the bible he said.,1,1
307,"brokeback mountain sucks anus, and thats a fact...",0,1,0,but see that's nonsense sexiness insides effect.,1,0,FOR THE BUT MOUNTAIN SEX SAYING AS AN THET'S A FACT.,1,0,but the background and some sane us and that's a fact.,1,1
308,I'm glad that stupid Brokeback Mountain didn't win..,0,0,0,and read that stupid but if you bust mountain didn't win.,0,0,AND GLAD THAT STUPID BROKE ABOVE MOUNTAIN DIDN'T WIN.,1,0,and that that stupid but he bought mountain been when.,0,0
309,"The problem with all of this, of course, is that Harry Potter sucks ass and is indicative of the overall decline of English-Speaking culture at the hands of predictability and pretty-packaging...: -).",0,null,0,the problem when all of this of course is the harry potter success and indicative of the overall decline of english speaking culture at the hands of predictability and presents accounting.,1,0,THE PROBLEM WITH OLIVE THIS OF COURSE IS THAT HARRY POTTER SEX AS AN IS INDICATIVE OF OVER ALL DECLINE OF INGLESE SPEAKING CULTURE AT THE HANDS OF PREDICT ABILITY AND PREVENT FAGGING.,1,1,the problem with all of this of course is that harry potter success and is indicative of the overall decline of english speaking culture at the hands of predictability in three five founding.,0,0
310,I suppose you could say that I hate Harry Potter because he's everything I'm not.,0,0,0,i suppose you could say that i hate harry potter because he's everything and not.,null,0,I SUPPOSE YOU COULD SAY THAT I HATE HARRY POTTER BECAUSE HE'S EVERYTHING HIM NOT.,1,0,i suppose you could say that i hate harry potter because he said anything i'm not.,null,0
311,And brokeback mountain can suck my dick...,0,0,0,and that's enough mountain ten sets my deck.,1,1,AND BROKE ABOVE MOUNTAIN CAN SERVE MY DEATH.,1,null,and that he that man's and can suck my good.,null,0
312,I blame Mission Impossible for some of my chunnel fears -- but I think I would be scared regardless..,0,null,0,i blame mission impossible for some of my channels there's but i think i would be scared or guard less.,0,0,I BLAME MISSION IMPOSSIBLE FOR SOME OF MY GENTLE FEARS BUT I THINK I WOULD BE SCARED REGARDLESS.,1,0,i have a mission impossible for some of my channel fares but i think i would be spared regardless.,1,0
